query,intent
list all round trip fares from phoenix to washington,atis_airfare
show me all ground transportation in washington dc,atis_ground_service
what types of ground transportation are available in philadelphia,atis_ground_service
what's the cheapest first class airfare from pittsburgh to san francisco,atis_airfare
what's the cheapest fare for a round trip from indianapolis to orlando on december twenty seventh,atis_airfare
what is the transportation time from the airport to boston,atis_ground_service
describe ground transportation in dallas,atis_ground_service
what's the lowest round trip fare from dallas to any city,atis_airfare
could you please find me the cheapest one way fare from boston to philadelphia,atis_airfare
can you show me fares for december sixteenth from oakland to dallas one way only,atis_airfare
what airline is dl 98,atis_airline
what is the fare from atlanta to boston on coach one way,atis_airfare
ground transportation denver,atis_ground_service
what ground transport is available in baltimore,atis_ground_service
i would like information on ground transportation in atlanta from the airport to the city in the morning around 9 am,atis_ground_service
what ground transportation is available in san francisco,atis_ground_service
show me ground transportation in san francisco,atis_ground_service
how much does it cost to go from downtown to logan airport,atis_airfare
which airlines have nonstop flights from kansas city to chicago,atis_airline
show me the cheapest one way tickets from atlanta to dallas,atis_airfare
show me the airlines between boston and denver,atis_airline
information on ground transportation in denver,atis_ground_service
do the airlines still offer first class,atis_airline
show me fares from baltimore to philadelphia,atis_airfare
how much is a flight from washington to boston,atis_airfare
what is the least expensive one way ticket from atlanta to denver leaving on october twelfth,atis_airfare
how much is an economy ticket from washington to san francisco on september thirtieth,atis_airfare
round trip air fares from pittsburgh to philadelphia less than 1000 dollars,atis_airfare
which airline has the most arrivals in atlanta,atis_airline
could you please give me a one way fare from pittsburgh to atlanta,atis_airfare
i'd like to find the cheapest one way fare from baltimore to denver,atis_airfare
do you have any airlines that would stop at denver on the way from baltimore to san francisco,atis_airline
what is the ground transportation from philadelphia airport to the city proper,atis_ground_service
what airlines fly from boston to pittsburgh,atis_airline
i would like to know the types of ground transportation from the airport to las vegas,atis_ground_service
give me fares from atlanta to baltimore,atis_airfare
what is the lowest fare from denver to pittsburgh,atis_airfare
show me all fares between philadelphia and san francisco that are less than 200 dollars one way,atis_airfare
what does ground transportation look like in oakland,atis_ground_service
what airlines leave from washington,atis_airline
show me the lowest priced fare from dallas to baltimore,atis_airfare
ground transportation washington,atis_ground_service
i need information for ground transportation denver colorado,atis_ground_service
show me round trip tickets from new york to miami,atis_airfare
do you have the fare for traveling from oakland airport to oakland downtown,atis_airfare
can you rent a car at stapleton international airport in denver,atis_ground_service
show me fares from philadelphia to san francisco on thursday morning,atis_airfare
what is the lowest cost fare that delta has between boston and san francisco,atis_airfare
list all round trip fares from pittsburgh to washington dc,atis_airfare
i'd like a round trip ticket from los angeles to tacoma washington,atis_airfare
show me the fares from dallas to san francisco,atis_airfare
show me the lowest fare for a round trip flight from baltimore to dallas,atis_airfare
what is the cheapest fare from dallas to denver on delta,atis_airfare
show me fares leaving on tuesdays from denver to go to dallas,atis_airfare
what would be cost of a round trip from pittsburgh to san francisco,atis_airfare
what ground transport is available in minneapolis,atis_ground_service
i want a one way ticket from dallas to baltimore,atis_airfare
show me round trip fares from new york to miami,atis_airfare
fares and flights from pittsburgh to philadelphia,atis_airfare
first class price san francisco pittsburgh round trip,atis_airfare
what is the cheapest first class fare from cleveland to miami on us air on february twenty fourth,atis_airfare
show me prices of flights from baltimore to dallas,atis_airfare
is there ground transportation from the milwaukee airport to the downtown area,atis_ground_service
what type of ground transportation is available at logan airport,atis_ground_service
give me the lowest fare from atlanta to denver on may seventh please,atis_airfare
what type of ground transportation is available at philadelphia airport,atis_ground_service
ground transportation in denver,atis_ground_service
ground transport in denver,atis_ground_service
show fares and flights from denver to oakland,atis_airfare
show me ground transport in seattle,atis_ground_service
is there an airline that advertises having more flights than any other airline,atis_airline
what is the cost of united airlines flight 415 from chicago to kansas city thursday night,atis_airfare
which airlines fly from boston to san francisco,atis_airline
which airlines have flights between charlotte and newark,atis_airline
ground transportation in denver,atis_ground_service
what ground transportation is available at baltimore,atis_ground_service
what ground transportation is available at denver airport,atis_ground_service
show me about the ground transportation in boston,atis_ground_service
what is the lowest price fare from atlanta to san francisco on flight delta 82 and delta 139,atis_airfare
please show me airlines with flights from philadelphia to dallas,atis_airline
what is the fare from san francisco to dallas fort worth on delta flight 852,atis_airfare
what is the round trip cost of a first class ticket from boston to san francisco,atis_airfare
show me ground transportation information for pittsburgh,atis_ground_service
show me ground transportation in westchester county,atis_ground_service
what are the coach fares for flights from charlotte to newark tuesday afternoon,atis_airfare
what is the cost of flight dl 106 from philadelphia to boston,atis_airfare
what round trip tickets are there from cleveland to miami on us air that arrive before 4 pm,atis_airfare
i need ground transportation in dallas please show me what's available,atis_ground_service
cheapest airfare from orlando to tacoma,atis_airfare
what is the fare for flights from denver to atlanta,atis_airfare
what ground transportation is available in dallas tomorrow,atis_ground_service
show me the prices of all flights from atlanta to washington dc,atis_airfare
i would like the cheapest one way fare from dallas to denver,atis_airfare
what is the price of a one way fare from atlanta to boston,atis_airfare
find me the cheapest one way fare i can get from boston to denver,atis_airfare
what are the first class and coach fares for flights from chicago to kansas city arriving around 7 pm next thursday,atis_airfare
please give me round trip fares from pittsburgh to philadelphia,atis_airfare
what airlines fly from boston to pittsburgh,atis_airline
show me ground transportation in dallas please,atis_ground_service
what is the cheapest round trip fare from atlanta to pittsburgh,atis_airfare
is there ground transportation in oakland,atis_ground_service
what is the cost of flights from denver to san francisco,atis_airfare
boston ground transportation,atis_ground_service
show me the round trip tickets from baltimore to atlanta,atis_airfare
please show me airlines with flights from denver to philadelphia,atis_airline
what car rentals are available next sunday from denver airport,atis_ground_service
what is lowest cost air fare available for a flight from dallas to baltimore arriving on july fourth,atis_airfare
what is the cheapest fare from washington to san francisco,atis_airfare
i need fare information from denver to pittsburgh,atis_airfare
what is the cheapest fare i can get from dallas to denver,atis_airfare
what are the prices of these flights,atis_airfare
is there ground transportation available in denver,atis_ground_service
what is the cheapest fare from baltimore to dallas in any class,atis_airfare
show me the cheapest fares from miami to new york leaving on a sunday,atis_airfare
how much is the cheapest flight from denver to pittsburgh,atis_airfare
can you list the cheapest round trip fare from orlando to kansas city,atis_airfare
ground transportation san francisco,atis_ground_service
what is the fare on the thrift economy flight from boston to san francisco,atis_airfare
show me fares from dallas to baltimore that cost less than 300 dollars,atis_airfare
what airline is the flight originating in atlanta on november seventh at noon and arriving in san francisco at 210 pm,atis_airline
what is the cost of a ticket going from denver to boston july twenty fifth 1991,atis_airfare
list ground transportation in detroit,atis_ground_service
i need a first class ticket on united airlines from denver to baltimore scheduled for december seventeenth,atis_airfare
round trip fares from pittsburgh to philadelphia under 1000 dollars,atis_airfare
okay we're going from washington to denver first class ticket i'd like to know the cost of a first class ticket,atis_airfare
hi i want a round trip ticket to dallas,atis_airfare
us 3724 baltimore to philadelphia what is the round trip fare,atis_airfare
okay i just want to know the cheapest fare from atlanta to boston,atis_airfare
show me airlines going from pittsburgh going to denver and then continuing to san francisco on monday,atis_airline
okay i've got somebody else who wants to take a round trip ticket from charlotte to montreal,atis_airfare
how much is a us air boston to pittsburgh daily nonstop flight,atis_airfare
round trip fares from denver to philadelphia under 1000 dollars and pittsburgh to philadelphia under 1000 dollars,atis_airfare
what airline is hp,atis_airline
what's the cost of a first class fare from philadelphia to san francisco,atis_airfare
are there any limousines or taxi services available at the boston airport,atis_ground_service
what is the price of a first class ticket from milwaukee to san francisco round trip,atis_airfare
what are the prices of the flights from dallas to baltimore,atis_airfare
