ArticleId,Text,Category
1683,blair rejects iraq advice calls tony blair has rejected calls for the publication of advice on the legality of the iraq war amid growing calls for an investigation.  the prime minister told his monthly press conference the matter had been dealt with by the attorney general. earlier  conservative mp michael mates joined calls for a probe into claims lord goldsmith s statement to parliament was drawn up at number 10. mr blair said the statement was a  fair summary  of lord goldsmith s opinion.   that s what he (lord goldsmith) said and that s what i say. he has dealt with this time and time and time again   mr blair told his monthly news conference in downing street. he refused to answer further questions on the issue  saying it had been dealt with  literally scores of times and the position has not changed . lord goldsmith has denied being  leaned on  and says the words written were his.  the government refuses to publish his advice on the legality of the war - saying such papers have always been kept confidential. mr mates  who is a member of the commons intelligence and security committee and was part of the butler inquiry into pre-war intelligence  told the bbc on friday:  that  as a general rule  is right  but it s not an absolute rule.  he said there had been other occasions when advice had been published  most recently regarding prince charles s marriage plans. the government could not pick and choose when to use the convention  he said.  mr mates added:  we discovered that there were two or three occasions in the past when law officers  advice to the government has been published.  and this may be one of those special occasions... when it would be in the public interest to see the advice which the attorney general gave to the prime minister.  this is argument was rejected by mr blair  who said:  firstly  we haven t broken the precedent  and secondly peter goldsmith has made his statement and i have got absolutely nothing to add to it.  in a book published this week  philippe sands qc  a member of cherie blair s matrix chambers  says lord goldsmith warned tony blair on 7 march 2003 that the iraq war could be illegal without a second un resolution sanctioning military action.  but a short statement about lord goldsmith s position was presented in a written parliamentary answer on 17 march 2003 - just before a crucial commons vote on the military action. mr sands  book suggests it was actually written by home office minister lord falconer and downing street adviser baroness morgan. former minister clare short  who resigned from the government over the iraq war  said it was the same statement that was earlier shown to the cabinet as it discussed military action. she told the bbc the full advice should have been attached  according to the ministerial code.   my view is we need the house of lords to set up a special committee  summon the attorney  get all the papers out  look at exactly what happened   she said. the conservatives and liberal democrats say they want the publication of the full legal advice given by the attorney general. on thursday  lord goldsmith said his statement had not been  written by or at number 10 .  in my parliamentary answer on march 17 2003  i explained my genuinely held independent view  that military action was lawful under the existing security council resolutions   he said.,politics
1153,housewives lift channel 4 ratings the debut of us television hit desperate housewives has helped lift channel 4 s january audience share by 12% compared to last year.  other successes such as celebrity big brother and the simpsons have enabled the broadcaster to surpass bbc2 for the first month since last july. however the channel s share of the audience fell from 11.2% to 9.6% last month in comparison with january 2004. celebrity big brother attracted less viewers than its 2002 series.  comedy drama desperate housewives managed to pull in five million viewers at one point during its run to date  attracting a quarter of the television audience. the two main television channels  bbc1 and itv1  have both seen their monthly audience share decline in a year on year comparison for january  while five s proportion remained the same at a slender 6.3%. digital multi-channel tv is continuing to be the strongest area of growth  with the bbc reporting freeview box ownership of five million  including one million sales in the last portion of 2004. its share of the audience soared by 20% in january 2005 compared with last year  and currently stands at an average of 28.6%.,entertainment
1028,uk coal plunges into deeper loss shares in uk coal have fallen after the mining group reported losses had deepened to £51.6m in 2004 from £1.2m.  the uk s biggest coal producer blamed geological problems  industrial action and  operating flaws  at its deep mines for its worsening fortunes. the south yorkshire company  led by new chief executive gerry spindler  said it hoped to return to profit in 2006. in early trade on thursday  its shares were down 10% at 119 pence. uk coal said it was making  significant progress  in shaking up the business. it had introduced new wage structures  a new daily maintenance regime for machinery at its mines and methods to continue mining in adverse conditions. the company said these actions should  significantly uplift earnings . it expected 2005 to be a  transitional year  and to return to profitability in 2006.  the recent rise in coal prices has failed to benefit the company as most of its output had already been sold  it said. total production costs were £1.30 per gigajoule  uk coal said  but the average selling price was just £1.18 per gigajoule.  we have a long journey ahead to fix these issues. we continue to make progress and great strides have already been made   said mr spindler. uk coal operates 15 deep and surface mines across nottinghamshire  derbyshire  leicestershire  yorkshire  the west midlands  northumberland and durham.,business
812,bp surges ahead on high oil price oil giant bp has announced a 26% rise in annual profits to $16.2bn (£8.7bn) on the back of record oil prices.  last week  rival shell reported an annual profit of $17.5bn - a record profit for a uk-listed company. bp added that it was increasing its fourth-quarter dividend by 26% to 8.5 cents  and that it would continue with share buybacks. bp chief executive lord browne said the results were strong  both operationally and financially.   the company is earning about $1.8m an hour.  despite the record annual profits figure  bp s performance was below the expectations of some city analysts. however  bp s share price rose 4p or nearly 1% in morning trading to 548p. its profit rise for the year included profits of $3.65bn (£1.97bn) for the final three months of 2004 - up from $2.89bn a year ago but below its third quarter.  speaking on the bbc s today programme on tuesday  lord browne said the profits were not solely down to the high oil price alone.   the profits are up more than the price of oil is up   he said. lord browne pointed out that bp was reaping the benefits of its investment in oil exploration.  we have spent many years buying (assets) when the price is low   he said. the company has made new discoveries in egypt  the gulf of mexico and angola.  however  lord browne rejected calls for a windfall tax on his company s huge profits  saying that in the north sea it paid progressively more tax  the more profits it made. lord browne believes oil prices will remain quite high. currently above $40 a barrel  he said:  the price of oil will be well supported above $30 a barrel for the medium term.  bp put production for the year at 3.997 billion barrels of oil  up 10% on 2003  but slightly lower than the four billion barrels it had initially aimed for.,business
707,ireland 21-19 argentina an injury-time dropped goal by ronan o gara stole victory for ireland from underneath the noses of argentina at lansdowne road on saturday.  o gara kicked all of ireland s points  with two dropped goals and five penalties  to give the home side a 100% record in their autumn internationals. an impressive argentina appeared in control until the dying seconds. the pumas shocked the irish early on with a try from federico aramburu  and felipe contepomi kicked 14 points. the well-drilled and sharper pumas out-played and out-thought ireland in the early stages. indiscipline allowed argentina s leinster fly-half contepomi to open the scoring in the third minute with a straightforward penalty. he was on the mark again two minutes later when argentina shocked a ragged ireland with the first try of the game. ireland turned the ball over and manuel contepomi broke through an unstructured defence before feeding his midfield partner aramburu to sprint in under the posts. o gara finally got ireland on the board with a dropped goal in the ninth minute only for contepomi to rifle over his second penalty two minutes later. playing into a strong wind and rain  ireland continued to come second best in tight situations  and turnovers began to mount up against a rugged defence. o gara managed to land his second penalty in the 36th minute  but once again contepomi replied in kind four minutes into first-half injury time. the second-half started as the first had ended. o gara rifled over another penalty in the 45th minute  but contepomi matched it three minutes later. the upper-body strength of the pumas never allowed ireland to take control up front  while the three-quarters had no space to manoeuvre. ireland had to rely on o gara s boot to keep in touch rather than any contrived running plays. the munsterman landed two more penalties - one of them from 48 metres - to bring his team to within four points with 13 minutes on the clock remaining. and ireland s chance came when argentina s number eight gonzalo longo was yellow carded with six minutes to go for an offence in the line-out. o gara made no mistake as he rifled over his fifth penalty to set up a tense final few minutes. but ireland showed great composure to get themselves into a position to allow o gara to thump over a massive drop goal to complete a tremendous  if fortuitous  comeback.,sport
1588,wenger signs new deal arsenal manager arsene wenger has signed a new contract to stay at the club until may 2008.  wenger has ended speculation about his future by agreeing a long-term contract that takes him beyond the opening of arsenal s new stadium in two years. he said:  signing a new contract just rubber-stamps my desire to take this club forward and fulfil my ambitions.  i still have so much to achieve and my target is to drive this club on. these are exciting times for arsenal.   the 55-year-old frenchman told arsenal s website www.arsenal.com:  my intention has always been clear. i love this club and am very happy here.  wenger has won the title and the fa cup three times each during his reign. chairman peter hill-wood said:  we are absolutely delighted that arsene has signed an extension to his contract.  since his arrival in 1996  he has revolutionised the club both on and off the pitch.  as well as the six major honours he s won during his time here  arsene has been a leading influence behind all the major initiatives at the club including the construction of our new training centre and also our new stadium.   the club has continued to reap the benefits of arsene s natural eye for unearthing footballing talent.  we currently have a fantastic crop of young players coming through the ranks together with a number of world-class players who are playing a wonderful brand of football.  meanwhile  arsenal director danny fiszman is looking for wenger to stay beyond 2008.  when we come towards the end of his contract we will both review the situation. i m sure we will want him to stay on and i hope he will too   said fiszman.,sport
342,u2 s desire to be number one u2  who have won three prestigious grammy awards for their hit vertigo  are stubbornly clinging to their status as one of the biggest bands in the world.  the most popular groups in the history of rock all have several things in common. the music must be inspired and appeal across generations and be distinctive  if not always groundbreaking. but such success is down to more than music. they have to be compelling performers  charismatic and intelligent enough to make good decisions and keep their feet on the ground. they also have to want it. they have to want to be the biggest band ever and not stop wanting it. the beatles had it  the rolling stones still have it  rem hold onto it and queen were it in a catsuit. and u2 have it in spades  and keep churning it out. their new album  how to dismantle an atomic bomb  comes 28 years after the schoolfriends got together in dublin and 17 years after the joshua tree cemented their place on the all-time rock a-list.  they may have lost some of the edginess and raw  youthful force that propelled them to the top  but they have lost none of the desire or ability to craft songs and albums.  vertigo  the first single from the new album  went straight into the uk singles chart at number one  knocking eminem off the top spot and giving them their 26th top 10 hit.  the challenge is to be bigger and bolder and better - to make records the whole world will listen to   bono recently said. drummer larry mullen jr echoed those sentiments:  we re very competitive - we want to be on the radio  have big singles. we don t want to be thought of as a veteran band.  the band have done  everything in their considerable powers  to ensure they remain the biggest band in the world  according to q magazine editor paul rees.   this makes them hugely determined and formidable.  he added:  they are equally determined to push themselves to make music that continues to stand up.  as such  they ve constantly re-invented and challenged themselves. they are  perhaps  alone as the only rock band that has got better with age.  the other key ingredient was the fact they were highly organised  mr rees said.  they do everything in the right way.  the group were born when mullen put an appeal for bandmates on a high school notice board  attracting fellow pupils paul hewson (bono  vocals)  adam clayton (bass)  david evans (the edge  guitar) and his brother dick.  dick evans soon dropped out and the four-piece were known as the feedback and the hype before settling on u2.  by 1978  they had won a talent contest and got noticed by a manager  paul mcguinness.  they were brilliant  but very coarse   mcguinness recently said.  in a way  they were doing exactly what they do now. only badly.  they struggled to attract record company attention  later being described as  pretty damn average  and  strange and eerie  by scouts who saw them live. they released two ireland-only singles  which topped the national charts in 1979 and 1980  leading to a deal with island and their debut album boy. the stadium-filling  anthemic sound was u2 s aim from the start  and their third album  war  saw them make the breakthrough on both sides of the atlantic  going to number one in the uk and 12 in the us. songs like sunday bloody sunday and new year s day brought success and an image as a political and spiritual band - which bono rejected as a cliche.  his stage performances - which included flag-waving  speaker-climbing and drum-throwing - earned him a reputation as an electric performer  and their appearance at 1985 s live aid is widely seen as sealing their global stardom.  in 1987  the joshua tree broke sales records and saw the band reach the height of their powers with hits including where the streets have no name  i still haven t found what i m looking for and with or without you. those songs took the band s epic  atmospheric sound to a simple  powerful and popular pinnacle. the end of the decade marked a crucial point for the band - they had reached the top but still yearned for new challenges and achievements. these came in the form of explorations of different branches of rock and forays into electronic dance music  plus wildly extravagant stage shows  while still trying to retain their mass appeal. the achtung baby album in 1991 was followed by zooropa  pop and their corresponding stadium tours  which featured giant olives  flying cars  live phone calls to the white house and bono s transformation into alter-egos the fly and macphisto. he was also building a parallel reputation - not always to the pleasure of his bandmates - as a campaigner on issues from global debt to aids. before the release of how to dismantle an atomic bomb  they had sold 125 million albums around the world. but they still want more.,entertainment
486,hantuchova in dubai last eight daniela hantuchova moved into the quarter-finals of the dubai open  after beating elene likhotseva of russia 7-5 6-4  and now faces serena williams.  australian open champion williams survived an early scare to beat russia s elena bovina 1-6 6-1 6-4. world number one lindsay davenport and anastasia myskina also progressed. davenport defeated china s jie zheng 6-2 7-5  while french open champion myskina sailed through after her opponent marion bartoli retired hurt. american davenport will now face fellow former wimbledon champion  conchita martinez of spain  who ousted seventh-seeded nathalie dechy of france 6-1 6-2. myskina will face eighth-seed patty schnyder from switzerland  who defeated china s li na 6-3 7-6 (10-8). the other quarter final pits wild card sania mirza of india against jelena jankovic of serbia and montenegro  who both won on tuesday.  before her meeting with martinez  davenport believes there is some room for improvement in her game.  i started well and finished well  but played some so-so games in the middle   she said. williams was also far from content.  i don t know what i was doing there   she said.  it was really windy and i hadn t played in the wind. all my shots were going out of here.  but hantuchova is in upbeat mood ahead of her clash with the younger williams sister  who was handed a first-round bye.  i feel i have an advantage (over serena) because i have already played two matches on these courts   she said.  it is a difficult court to play on. very fast and sometimes you feel you have no control over the ball.,sport
1344,melzer shocks agassi in san jose second seed andre agassi suffered a comprehensive defeat by jurgen melzer in the quarter-finals of the sap open.  agassi was often bamboozled by the austrian s drop shots in san jose  losing 6-3 6-1. defending champion and top seed andy roddick rallied to beat sweden s thomas enqvist 3-6 7-6 (8-6) 7-5. but unseeded cyril saulnier beat the fourth seed vincent spadea 6-2 6-4 and tommy haas overcame eighth seed max mirnyi 6-7 (2-7) 7-6 (7-3) 6-2. melzer has now beaten agassi in two of their three meetings.   i had a good game plan and i executed it perfectly   he said.  it s always tough to come out to play andre.  i didn t want him to play his game. he makes you run like a dog all over the court.  and agassi  who was more than matched for power by his opponent s two-handed backhand  said melzer was an example of several players on the tour willing to take their chances against him.  a lot more guys are capable of it now   said the american.  he played much better than me. that s what he did both times.  i had opportunities to loosen myself up   agassi added.  but i didn t convert on the big points.,sport
1552,moving mobile improves golf swing a mobile phone that recognises and responds to movements has been launched in japan.  the motion-sensitive phone - officially titled the v603sh - was developed by sharp and launched by vodafone s japanese division. devised mainly for mobile gaming  users can also access other phone functions using a pre-set pattern of arm movements. the phone will allow golf fans to improve their swing via a golfing game.  those who prefer shoot- em-ups will be able to use the phone like a gun to shoot the zombies in the mobile version of sega s house of the dead. the phone comes with a tiny motion-control sensor  a computer chip that responds to movement.  other features include a display screen that allows users to watch tv and can rotate 180 degrees. it also doubles up as an electronic musical instrument. users have to select a sound from a menu that includes clapping  tambourine and maracas and shake their phone to create a beat. it is being recommended for the karaoke market. the phone will initially be available in japan only and is due to go on sale in mid-february. the new gadget could make for interesting people-watching among japanese commuters  who are able to access their mobiles on the subway. fishing afficiandos in south korea are already using a phone that allows them to simulate the movement of a rod. the ph-s6500 phone  dubbed a sports-leisure gadget  was developed by korean phone giant pantech and can also be used by runners to measure calorie consumption and distance run.,tech
